Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
118,200	4,78482	-0,0409909
118,300	4,79415	-0,0410050
118,400	4,80397	-0,0410185
118,500	4,81342	-0,0410278
118,600	4,82512	-0,0410231
118,700	4,83428	-0,0410184
118,800	4,84475	-0,0410061
118,900	4,85417	-0,0410010
119,000	4,86504	-0,0410028
119,100	4,87274	-0,0410030
119,200	4,88359	-0,0410064
119,300	4,89464	-0,0410215
119,400	4,90513	-0,0410368
119,500	4,91362	-0,0410543
119,600	4,92425	-0,0410741
119,700	4,93407	-0,0410855
119,800	4,94411	-0,0410919
119,900	4,95411	-0,0410927
120,000	4,96476	-0,0411050
120,100	4,97425	-0,0411154
120,200	4,98445	-0,0411190
120,300	4,99320	-0,0411282
120,400	5,00409	-0,0411449
120,500	5,01407	-0,0411652
120,600	5,02367	-0,0411884
120,700	5,03320	-0,0412039
120,800	5,04387	-0,0412157
120,900	5,05377	-0,0412208
121,000	5,06420	-0,0412195
121,100	5,07370	-0,0412235
121,200	5,08327	-0,0412271
121,300	5,09311	-0,0412255
121,400	5,10378	-0,0412221
121,500	5,11346	-0,0412271
121,600	5,12379	-0,0412376
121,700	5,13401	-0,0412514
121,800	5,14318	-0,0412638
121,900	5,15320	-0,0412654
122,000	5,16260	-0,0412625
122,100	5,17180	-0,0412551
122,200	5,18190	-0,0412497
122,300	5,19320	-0,0412498
122,400	5,20234	-0,0412527
122,500	5,21317	-0,0412557
122,600	5,22357	-0,0412687
122,700	5,23454	-0,0412865
122,800	5,24421	-0,0412990
122,900	5,25539	-0,0413086
123,000	5,26313	-0,0413141
123,100	5,27329	-0,0413174
123,200	5,28378	-0,0413207
123,300	5,29263	-0,0413312
123,400	5,30359	-0,0413515
123,500	5,31209	-0,0413772
123,600	5,32400	-0,0414063
123,700	5,33265	-0,0414401
123,800	5,34216	-0,0414715
123,900	5,35226	-0,0415014
124,000	5,36269	-0,0415228
124,100	5,37267	-0,0415400
124,200	5,38384	-0,0415522
124,300	5,39305	-0,0415621
124,400	5,40273	-0,0415698
124,500	5,41095	-0,0415687
124,600	5,42235	-0,0415613
124,700	5,43264	-0,0415513
124,800	5,44231	-0,0415485
124,900	5,45214	-0,0415415
125,000	5,46241	-0,0415376
125,100	5,47137	-0,0415415
125,200	5,48213	-0,0415536
125,300	5,49260	-0,0415722
125,400	5,50220	-0,0416084
125,500	5,51300	-0,0416642
125,600	5,52304	-0,0416950
125,700	5,53366	-0,0417183
125,800	5,54311	-0,0417353
125,900	5,55277	-0,0417588
126,000	5,56256	-0,0417741
126,100	5,57375	-0,0417791
126,200	5,58222	-0,0417813
126,300	5,59319	-0,0417811
126,400	5,60258	-0,0417740
126,500	5,61270	-0,0417646
126,600	5,62208	-0,0417535
126,700	5,63326	-0,0417200
126,800	5,64247	-0,0417015
126,900	5,65269	-0,0416933
127,000	5,66279	-0,0416876
127,100	5,67312	-0,0416861
127,200	5,68185	-0,0416925
127,300	5,69285	-0,0417034
127,400	5,70279	-0,0417186
127,500	5,71151	-0,0417344
127,600	5,72258	-0,0417490
127,700	5,73230	-0,0417684
127,800	5,74246	-0,0417803
127,900	5,75131	-0,0417994
128,000	5,76250	-0,0418164
128,100	5,77190	-0,0418295
128,200	5,78172	-0,0418486
128,300	5,79179	-0,0418679
128,400	5,80108	-0,0418820
128,500	5,81224	-0,0418965
128,600	5,82265	-0,0419166
128,700	5,83030	-0,0419401
128,800	5,84088	-0,0419675
128,900	5,85237	-0,0419873
129,000	5,86110	-0,0420089
129,100	5,87081	-0,0420228
129,200	5,88098	-0,0420333
129,300	5,89189	-0,0420359
129,400	5,90138	-0,0420344
129,500	5,91209	-0,0420245
129,600	5,92130	-0,0420175
129,700	5,93187	-0,0420231
129,800	5,94233	-0,0420331
129,900	5,95136	-0,0420495
130,000	5,96241	-0,0420669
130,100	5,97260	-0,0420937
130,200	5,98160	-0,0421206
130,300	5,99219	-0,0421438
130,400	6,00147	-0,0421661
130,500	6,01200	-0,0421903
130,600	6,02119	-0,0422068
130,700	6,03131	-0,0422191
130,800	6,04171	-0,0422242
130,900	6,05176	-0,0422262
131,000	6,06281	-0,0422235
131,100	6,07145	-0,0422270
131,200	6,08048	-0,0422359
131,300	6,09151	-0,0422440
131,400	6,10234	-0,0422503
131,500	6,11164	-0,0422541
131,600	6,12198	-0,0422532
131,700	6,13228	-0,0422434
131,800	6,14198	-0,0422277
131,900	6,15194	-0,0421923
132,000	6,16178	-0,0421662
132,100	6,17172	-0,0421398
132,200	6,18111	-0,0421267
132,300	6,19119	-0,0421204
132,400	6,20184	-0,0421214
132,500	6,21199	-0,0421185
132,600	6,22136	-0,0421235
132,700	6,23131	-0,0421223
132,800	6,24128	-0,0421125
132,900	6,25142	-0,0420993
133,000	6,26241	-0,0420789
133,100	6,27207	-0,0420471
133,200	6,28165	-0,0420254
133,300	6,29142	-0,0420147
133,400	6,30172	-0,0420102
133,500	6,31119	-0,0420129
133,600	6,32142	-0,0420281
133,700	6,33131	-0,0420841
133,800	6,34103	-0,0421662
133,900	6,35175	-0,0422336
134,000	6,36153	-0,0422922
134,100	6,37124	-0,0423236
134,200	6,38223	-0,0423814
134,300	6,39210	-0,0424106
134,400	6,40199	-0,0424558
134,500	6,41155	-0,0424836
134,600	6,42163	-0,0425148
134,700	6,43119	-0,0425425
134,800	6,44082	-0,0425574
134,900	6,45154	-0,0425636
135,000	6,46052	-0,0425557
135,100	6,47119	-0,0425301
135,200	6,48194	-0,0424676
135,300	6,49063	-0,0424347
135,400	6,50125	-0,0424121
135,500	6,51143	-0,0424117
135,600	6,52159	-0,0424204
135,700	6,53135	-0,0424488
135,800	6,54230	-0,0424782
135,900	6,55161	-0,0425065
136,000	6,56188	-0,0425284
136,100	6,57131	-0,0425441
136,200	6,58292	-0,0425564
136,300	6,59250	-0,0425625
136,400	6,60140	-0,0425702
136,500	6,61148	-0,0425715
136,600	6,62254	-0,0425628
136,700	6,63162	-0,0425433
136,800	6,64158	-0,0425308
136,900	6,65142	-0,0425149
137,000	6,66118	-0,0424956
137,100	6,67136	-0,0424720
137,200	6,68122	-0,0424593
137,300	6,69110	-0,0424567
137,400	6,70180	-0,0424648
137,500	6,71104	-0,0424857
137,600	6,72194	-0,0425237
137,700	6,73227	-0,0425592
137,800	6,74189	-0,0425805
137,900	6,75230	-0,0426110
138,000	6,76167	-0,0426332
138,100	6,77212	-0,0426446
138,200	6,78208	-0,0426566
138,300	6,79107	-0,0426542
138,400	6,80224	-0,0426525
138,500	6,81223	-0,0426450
138,600	6,82191	-0,0426329
138,700	6,83278	-0,0426137
138,800	6,84233	-0,0425981
138,900	6,85234	-0,0425833
139,000	6,86209	-0,0425795
139,100	6,87241	-0,0425832
139,200	6,88258	-0,0425965
139,300	6,89191	-0,0426222
139,400	6,90082	-0,0426535
139,500	6,91236	-0,0427057
139,600	6,92206	-0,0427544
139,700	6,93164	-0,0427936
139,800	6,94232	-0,0428187
139,900	6,95152	-0,0428376
140,000	6,96114	-0,0428415
140,100	6,97262	-0,0428473
140,200	6,98180	-0,0428583
140,300	6,99219	-0,0428654
140,400	7,00150	-0,0428726
140,500	7,01235	-0,0428783
140,600	7,02178	-0,0428804
140,700	7,03244	-0,0428805
140,800	7,04157	-0,0428859
140,900	7,05197	-0,0428938
141,000	7,06153	-0,0428942
141,100	7,07096	-0,0428784
141,200	7,08104	-0,0428603
141,300	7,09271	-0,0428461
141,400	7,10148	-0,0428316
