code	label	notes	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
144	CICIMAUCR0144 MV//SEX: M 28.v.2023	MV 14/6/2023	57	28	5	2023		M	1	3	3	3	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE											general
145	CICIMAUCR0145 MV//SEX: F 28.v.2023	#59 MV-2023 05-VI-2023	59	28	5	2023		F	1	3	3	3	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE											general
146	CICIMAUCR0146 TP//SEX: M 7-v-22	C. optima P.N. Tapanti 07.V.2022, tapa sale como 36 K	no code	7	5	2022		M	1	3	3	3	TP	Tapanti, COSTA RICA	Chrysina	optima	COSTA RICA	CARTAGO	N 09.703526	W 083.781989	1487 m								
147	CICIMAUCR0147 MV//SEX: M 28.v.2023	MV 2023 5-VI-2023	61	28	5	2023		M	1	3	4	1	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE											general
148	CICIMAUCR0148 //SEX: U 2023	NA	MV-65			2023			1	3	4	1					COSTA RICA												
149	CICIMAUCR0149 //SEX: U 2023	NA	MV-66			2023			1	3	4	1					COSTA RICA												
15	CICIMAUCR0015 MV//SEX: F 28.v.2023	MV	60	28	5	2023		F	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	resplendens	COSTA RICA	GUANACASTE				dark-adapted							RNA-opsins
150	CICIMAUCR0150 //SEX: U 2023	NA	MV-67			2023			1	3	4	1					COSTA RICA												
151	CICIMAUCR0151 //SEX: U 2023	NA	MV-68			2023			1	3	4	1					COSTA RICA												
152	CICIMAUCR0152 //SEX: U 2023	NA	MV-69			2023			1	3	4	1					COSTA RICA												
153	CICIMAUCR0153 MV//SEX: U RCP	M 31/V K42 (tiene escrito a un lado k47), from Kenji Nishida	47			2023			1	3	4	2	MV	nr. Estacion Biologica Monteverde	??	??	COSTA RICA	PUNTARENAS											general
154	CICIMAUCR0154 LU//SEX: U 2023	2023 La Union CARTAGO	NO CODE			2023			1	3	4	2	LU				COSTA RICA												
