code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
ANGSOL0005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tlanchinol	Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.	Chrysina	macropus	Mexico	Hidalgo	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tlanchinol	Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.	Chrysina	macropus	Mexico	Hidalgo	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	La Esperanza	Chrysina auripes. (en otra etiqueta Plusiotis cholchihoilli). Mexico, Oaxaca, b Esperanza. 1-VII-1992. J. Blackaller col.	Chrysina	auripes	Mexico	Oaxaca	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	La Esperanza	Chrysina auripes. Mexico, Oaxaca, La Esperanza. 1-VII-1992. J. Blackaller col.	Chrysina	auripes	Mexico	Oaxaca	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Pinal de Amoles	Chrysina adelaida. Coleccion del instituto de biologia, UNAM. Mexico, D.F. Mexico Queretaro Pinal de Amoles Desv. a Mision de Bucareli. 2250 msnm 27-IV-1998. N 21 6 36, O 99 59 25. E. Barrera C. Mayorga.	Chrysina	adelaida	Mexico	Queretaro	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0010	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Altamira, Los Gigantes del Bosque	Chrysina marginata. ASolis003116. Costa Rica, Los Gigantes del Bosque, Altamira, 1400 m, 4-May-2022. A. Solis. 9.03075 -83.00953.	Chrysina	marginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Chrysina resplendens. Sector Santa Maria, manta #560, crater bosque, sendero adentro/ 8 Abril 2016/ Col: Sergio rios / BioCol-0000415.	Chrysina	resplendens	Costa Rica	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Altamira, Los Gigantes del Bosque	Chrysina kalinini. ASolis000517. Costa Rica. Los Gigantes del Bosque, Altamira, 1400 m, 26-Nov-2019. A. Solis. 9.03075 -83.0053. A. Soolis 000517.	Chrysina	kalinini	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	P.N. Braulio Carrillo. ET. Zurqui tunel.	Chrysina cupreomarginata. San Jose, Costa Rica. P.N. Braulio Carrillo. ET. Zurqui tunel. 1500 m. 20 setiembre 85. M Chavarria D.	Chrysina	cupreomarginata	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	 Pitilla	Minidorysthetus solisi. ASolis003398. Costa Rica. Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717.	Minidorysthetus	solisi	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
