code	old_code	genus	species	sex_code	purpose	notes	country	province	location	location_code	latitude	longitude	elevation	collection_day	collection_month	collection_year	death_date	refrigerator	tray	row	column	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	label
CICIMAUCR0054	2017-20	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 3-V-2017 APROX	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	3.V.2017	1	1	3	2								CICIMAUCR0054 TP//SEX: F IV.2017
CICIMAUCR0055	2017-21	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 9-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	9.V.2017	1	1	3	2								CICIMAUCR0055 TP//SEX: M IV.2017
CICIMAUCR0056	2017-22	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 9-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	9.V.2017	1	1	3	2								CICIMAUCR0056 TP//SEX: M IV.2017
CICIMAUCR0057	2017-24	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ?-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	V.2017	1	1	3	2								CICIMAUCR0057 TP//SEX: M IV.2017
CICIMAUCR0058	2017-25	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Mayo 2017 7.VI.2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		5	2017	7.VI.2017	1	1	3	2								CICIMAUCR0058 TP//SEX: M V.2017
CICIMAUCR0059	2017-26	Chrysina	optima			C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Mayo 2017 14.VI.2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		5	2017	14.VI.2017	1	1	3	2								CICIMAUCR0059 TP//SEX: U V.2017
CICIMAUCR0060		Chrysina	optima	M		C.optima plateado male ERG ambos ojos 22/05/2017	Costa Rica 							22	5	2017	22.V.2017	1	1	3	2								CICIMAUCR0060 //SEX: M 22.V.2017
CICIMAUCR0061	 	Chrysina	optima	M		C.optima (p) male Tapanti  24-V-2017 ERG-01 sin elitra 	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361		24	5	2017	24.V.2017	1	1	3	2								CICIMAUCR0061 TP//SEX: M 24.V.2017
CICIMAUCR0062		Chrysina	boucardi	F		Costa Rica, Cartago. P.N. Tapanti 1500 msnm 14-15/VI/2015 Élitro utilizado para análisis de microscopía electrónica Scarabaeidae Rutelinae Chrysina boucardi female	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500	14	6	2015		1	1	3	3								CICIMAUCR0062 TP//SEX: F 14.VI.2015
CICIMAUCR0063		Chrysina	boucardi	M		Costa Rica, Cartago. P.N. Tapanti 1500 msnm 14-15/VI/2015 Élitro utilizado para análisis de microscopía electrónica Scarabaeidae Rutelinae Chrysina boucardi male	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500	14	6	2015		1	1	3	3								CICIMAUCR0063 TP//SEX: M 14.VI.2015
CICIMAUCR0064		Chrysina	optima	M		Costa Rica, Cartago. P.N. Tapanti 1500 msnm 16-18/V/2015 Scarabaeidae Rutelinae dorada-rojo Chrysina optima male	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500	16	5	2015		1	1	3	3								CICIMAUCR0064 TP//SEX: M 16.V.2015
